corsid,state,site_name,site_code,coordinates_of_sites_dms_lat,coordinates_of_sites_dms_long,coordinates_of_sites_dms_elp_height
50915A001,Odisha,THUAMUL RAMPUR,THUR,19 33 14.3958658064489,82 56 3.58184952481708,636.24479
50916A001,Assam,TINSUKIA,TINS,27 29 5.714772124,95 20 53.923381512,69.682668
50917A001,Goa,TIVIM,TIVI,15 37 20.8141060747235,73 51 15.0810996535078,-57.0898
50918A001,Jharkhand,TORPA,TRPA,22 55 59.7135101,85 5 10.88480896,459.21751
50919A001,Mizoram,TUIPANG,TUIP,22 19 2.933210473,93 1 28.020890435,1298.424369
50920A001,Maharashtra,TUOD,TUOD,17 52 46.34426,76 18 15.28034,537.5981
50921A001,Arunanchal Pradesh,TUTING,TUTI,28 59 35.875051533,94 53 32.20208198,524.505585
50922A001,Assam,UDALGURI,UDAL,26 43 59.744061666,92 5 34.838011385,57.196749
50923A001,Odisha,UDAYAGIRI,UDAY,19 9 40.0170643057444,84 8 32.4824670433524,524.45236
50924A001,Maharashtra,UDGIR,UDGR,18 23 47.26832,77 8 33.05739,555.1117
50925A001,Jammu & Kashmir,UDHAMPUR,UDHM,32 56 1.8069501785657,75 8 43.7122593419227,728.63017
50926A001,Karnataka,UDUPI,UDPI,13 21 48.34861,74 47 9.97952,1.0919
50927A001,Madhya Pradesh,UJJAIN,UJJA,23 9 58.148524335227,75 48 44.9559375347157,446.64287
50928A001,Tamilnadu,ULUNDURPET,ULUN,11 41 26.6156941691687,79 17 18.1786216455877,-8.39394
50929A001,Maharashtra,UMARI NANDED,UNAD,19 2 44.41297,77 38 3.039,310.4147
50930A001,Odisha,UMARKOTE,UMAR,19 39 51.6906358143153,82 12 15.3870903857595,556.01147
50931A001,Assam,UMRONGSO,UMRO,25 30 17.659757428,92 44 0.604269221,615.837369
50932A001,Madhya Pradesh,UNCHERA,UNCH,24 21 58.6452228790489,80 46 37.7985686574608,270.2875
50933A001,Gujarat,UPLETA,UPLE,21 44 29.8414908271862,70 16 33.5488525038492,-2.07765
50934A001,Maharashtra,UPVALE,UPVL,17 51 47.37379,74 22 54.6631,593.609
50935A001,Maharashtra,URAN KARANJA,URAN,18 50 47.03953,72 56 59.94179,-62.1673
50937A001,Gujarat,VADODARA,VADO,22 19 2.95521610848171,73 15 20.1564366154938,-16.6118
50938A001,Rajasthan,VALLABHNAGAR,VALL,24 40 46.9718528445018,74 0 9.35991387176193,436.4486
50939A001,Tamilnadu,VALPARAI,VALP,10 19 26.1109798301023,76 57 16.0836858935641,976.77925
50940A001,Gujarat,VALSAD,VALS,20 36 21.4705132017995,72 55 34.1901886882083,-33.92706
50941A001,Tamilnadu,VANUR,VNUR,12 1 10.4933913287756,79 43 54.9302162828988,-55.54825
50942A001,Gujarat,VARAHI,VAHI,23 47 19.6492583686597,71 26 41.4702334392521,-28.77797
50943A001,Uttar pradesh,VARANASI,VARA,25 19 20.2669953317647,82 59 35.0695239471639,16.580132
50944A001,Maharashtra,VASAI,VSAI,19 20 10.6723,72 48 11.17222,-59.2589
50945A001,Kerla,VAZHIKKADAVU,VAVU,11 19 5.63351557153043,76 15 54.6142595846985,-61.35516
50946A001,Tamilnadu,VEDHARANYAM,VEDA,10 22 37.8965842563644,79 51 13.6831746204329,-83.94172
50947A001,Madhya Pradesh,VIDISHA,VIDI,23 30 40.6082652547456,77 47 43.4685977466715,371.49213
50948A001,Karnataka,VIJAYAPUR,VJPR,16 49 47.89794,75 41 19.23698,541.7838
50949A001,Telangana,VIKARABADH,VIKR,17 20 7.00171542481232,77 53 56.0565114727904,568.20123
50950A001,Rajasthan,VISMA,VISM,24 54 47.3813676307465,73 24 15.4534931407571,803.314
50951A001,Gujarat,VYARA,VARA,21 6 39.9934549254606,73 23 13.0720521575065,29.72092
50952A001,Maharashtra,WADGAON,WADG,18 44 32.33303,73 37 47.71088,564.5952
50953A001,Chhattisgarh,WADRUPNAGAR,WDRN,23 45 21.1227443840317,83 12 31.7556100463222,405.56424
50954A001,Maharashtra,WADS,WADS,20 37 2.23531,79 58 6.96562,172.5968
50955A001,Arunanchal Pradesh,WALONG,,28 7 52.275879529,97 0 59.092037453,1201.399548
50956A001,Maharashtra,WANI,WANI,20 3 29.51861,78 56 54.50198,151.1649
50957A001,Mizoram,WESTBUNGHMUM,WEST,23 10 58.230612399,92 29 7.912090714,735.738459
50958A001,Meghalaya,WILLIAMNAGAR,WILL,25 30 32.162960352,90 36 42.805450793,228.778383
50959A001,Karnataka,YADGIR,YDGR,16 46 15.95789,77 7 5.87135,293.0716
50960A001, Haryana,YAMUNANAGAR,YAMU,30 8 50.87146656,77 17 19.71477935,233.387
50961A001,Maharashtra,YEDSHI,YDSI,18 19 21.67069,75 57 50.28555,612.403
50962A001,Karnataka,YELANDUR,YLDR,12 3 6.99525,77 1 49.21206,570.8318
50963A001,Arunanchal Pradesh,YINGKIONG,YING,28 37 58.294339923,95 1 36.640768326,402.418757
50964A001, Sikkim,YUKSOM,YUKS,27 22 37.7832246385757,88 13 17.4978483554961,1715.46423
50965A001,Arunanchal Pradesh,YUPIA,YUPI,27 8 43.643078628,93 43 15.976700394,173.147706
50966A001,Ladakh,ZANGLA,ZANG,33 39 7.74860079574398,76 58 52.6418280110116,3428.830584
50967A001,Arunanchal Pradesh,ZIRO,ZIRO,27 32 18.270251202,93 48 49.83536959,1534.079908
