corsid,state,site_name,site_code,coordinates_of_sites_dms_lat,coordinates_of_sites_dms_long,coordinates_of_sites_dms_elp_height
50152A001,Madhya Pradesh,BIJAWAR,BIJA,24 38 21.3367675018504,79 29 54.3002029377479,290.82802
50153A001,Rajasthan,BIKAMPUR,BKPR,27 44 42.184511916967,72 8 48.8049014030916,115.8283813
50154A001,Rajasthan,BIKANER,BIKA,28 3 22.293434622135,73 16 45.2175955064028,180.1580656
50155A001,Rajasthan,BIKARNI,BKRN,24 31 54.5669634245196,73 10 54.198099119216,324.4839059
50156A001,Rajasthan,BIKENDRI,BIKE,28 11 7.88313,72 26 12.300209,93.34029137
50157A001,Uttar pradesh,BILASPUR,BILA,28 53 2.2319109247825,79 15 34.531683426776,137.9498
50158A001,Chhattisgarh,BILASPURCG,BLCG,22 5 30.0622778449411,82 10 29.7322435942787,222.18329
50159A001,Uttar pradesh,BILGRAM,BILG,27 11 16.6318170457825,80 2 39.001865386776,78.2687
50160A001,Mizoram,BILKHAWTHLIR,BILK,24 20 11.157132716,92 42 56.949450344,411.039945
50161A001,Odisha,BINIKA,BINI,21 4 32.3476015692784,83 48 26.6387677769594,78.09105
50162A001,Bihar,BIRAUL,BIRA,25 56 32.4014941906025,86 15 9.00084116393862,-10.664978
50163A001,Bihar,BIRPUR,BIRP,26 29 48.0792866341383,87 0 52.4531572459776,16.959836
50164A001,West Bengal,BISHNUPUR,BISH,23 3 11.9188867165021,87 18 49.1238308623091,26.00786
50165A001,Gujarat,BODELI,BODE,22 16 30.0041685910725,73 42 32.84732068271,25.87569
50166A001,Ladakh,BODHKHARBU,BODH,34 20 22.6945477569121,76 33 54.4747080630409,3467.19967
50167A001,Chhattisgarh,BODLA,BODL,22 9 38.57862,81 13 29.56534,324.40123
50168A001,Jharkhand,BOKARO,BORO,23 37 26.2420392671037,86 10 25.7721690424288,156.48127
50169A001,West Bengal,BOLPUR,BOLP,23 39 51.7504273430739,87 41 23.0848899893195,1.27939
50170A001,Assam,BORLENGRI,BORL,25 54 55.950499727,93 41 57.22986071,105.133406
50171A001,Gujarat,BOTAD,BOTA,22 10 55.4193719609873,71 40 50.7319780433504,44.7892
50172A001,Odisha,BRAHMAGIRI,GIRI,19 47 45.02927136,85 38 40.31365241,-55.87798
50173A001,Rajasthan,BUDSU,BUDS,27 8 17.007852,74 44 8.901806,350.7381
50174A001,Madhya Pradesh,BURHANPURNAGAR,BURH,21 18 20.9008156207062,76 12 22.5330818429782,185.61703
50175A001,Bihar,BUXAR,BUXA,25 33 35.4958622254854,83 57 45.2079035337265,1.687859
50176A001,Andaman & Nicobar Islands,CAMPBELL BAY,CAMP,6 57 40.2961832764131,93 55 13.2165100414652,-35.28551
50177A001,West Bengal,CANNING,CANN,22 18 46.5181001130475,88 40 20.559920152064,-50.51538
50178A001,Andaman & Nicobar Islands,CAR NICOBAR,CARN,9 10 29.9033707479136,92 49 3.31583945089204,-47.43227
50179A001,Bihar,CHAKIA,CHAK,26 24 53.4522567213962,85 3 5.97340306222042,-2.877839
50180A001,Manipur,CHAKPIKARONG,CHKP,24 12 22.466963493,93 54 15.493279502,750.093921
50181A001,Jharkhand,CHAKULIYA,CHYA,22 29 9.11180128,86 42 21.12963101,65.88471
50182A001,Himachal Pradesh,CHAMBA,CHAM,32 33 39.3335638728983,76 7 37.3303314651893,853.11189
50183A001,Madhya Pradesh,CHANCHODA,CHCH,24 10 51.3500823067548,77 0 21.8502917384482,396.55083
50184A001,Rajasthan,CHANDAN,CHDN,26 59 30.557343,71 18 8.336821,138.579
50185A001,Uttar pradesh,CHANDAUSI,CHAN,28 27 34.2283969957825,78 47 42.133237276776,132.5148
50186A001,Rajasthan,CHANDAWAL,CDWL,25 59 57.9974449411334,73 50 28.1569174494361,249.6302
50187A001,Chandigarh,CHANDIGARH,CHDG,30 42 51.12567801,76 46 42.03141818,287.4355
50188A001,Jharkhand,CHANDWA,CHWA,23 40 5.65953084470333,84 44 2.32019951095647,471.8005
50189A001,Arunanchal Pradesh,CHANGLANG,CHGL,27 8 13.4641372,95 44 29.637379762,402.394834
50190A001,Karnataka,CHANNAGIRI,CNGR,14 1 26.30846,75 55 35.00076,600.773
50191A001,Assam,CHAPAKHOWA,CHPK,27 54 42.577303643,95 46 7.731950532,93.539688
50192A001,Assam,CHAPAR,CHPR,26 16 32.190676622,90 26 43.440910473,-10.479527
50193A001,Assam,CHARAIDEO,CHRD,27 1 44.62216551,95 1 36.7198196,52.360021
50194A001,Nagaland,CHARE,CHRE,26 18 9.577152009,94 36 55.996551606,1024.141915
50195A001,Telangana,CHARLA,CHAR,18 4 38.9188089192112,80 49 54.1534976181201,13.91622
50196A001,Jharkhand,CHATRA,CHAT,24 12 43.8463770398774,84 51 24.683713073221,373.02441
50197A001,Odisha,CHATRAPUR,CPUR,19 21 13.20491885,84 58 52.63653363,-24.82552
50198A001,Rajasthan,CHAU,CHAU,27 27 0.918313,73 49 35.736855,258.4475
50199A001,Himachal Pradesh,CHAUPAL,CHPL,30 56 45.0301980480017,77 36 5.08029293527485,2002.51289
50200A001,Tamilnadu,CHENNAI,CHNN,13 3 48.2393399851197,80 16 52.2071604437307,-61.75877
50201A001,Kerla,CHERPULASSERY,CHER,10 52 36.7738511221899,76 15 34.539139829914,1.99454
50202A001,Meghalaya,CHERRAPUNJI,CHER,25 16 6.869323856,91 44 7.332489352,1246.782474
50203A001,Nagaland,CHETHEBA,CHET,25 39 54.72058218,94 15 24.886059903,1572.093816
50204A001,Tamilnadu,CHEYYAR,CYAR,12 40 0.527764597505993,79 32 27.2321749619338,13.95407
50205A001,Tamilnadu,CHEYYUR,CHEY,12 21 7.8265714286933,79 59 58.049196440408,-72.72863
50206A001,West Bengal,CHHATNA,CHHA,23 19 16.5860472734431,86 58 31.5221814144005,81.17866
50207A001,Uttar pradesh,CHIBRAMAU,CHIB,27 8 22.5654160934084,79 29 57.4921840368976,87.37983152
50208A001,Andaman & Nicobar Islands,CHIDIYA TAPU,CHID,11 30 8.83711869717725,92 42 3.31056750527119,-53.95918
50209A001,Manipur,CHINGAI,CHNG,25 18 42.843819469,94 30 26.753989161,1404.092734
50210A001,Telangana,CHINNACHINTAKUNTA,CHNN,16 27 7.17688103795147,77 48 32.6645147377157,255.4626
50211A001,Telangana,CHINTHAPALLY,CHIN,16 48 23.9481472101543,78 49 23.9871023818698,284.81847
50212A001,Rajasthan,CHIPPABAROD,CHIP,24 38 53.8703392399953,76 42 56.6978098150531,277.1527857
50213A001,Chhattisgarh,CHIRMIRI,CHRM,23 10 25.59752,82 22 23.81123,582.44138
50214A001,Jharkhand,CHITARPUR,CHIT,23 35 46.7578003181204,85 39 24.0049752273538,273.5363
50215A001,Rajasthan,CHITTAKAPAR,CHKR,25 56 14.668347,71 35 18.2087,110.839
50216A001,Rajasthan,CHITTORGARH,CHIT,24 52 42.9171504162856,74 36 29.2728033709288,353.4
50217A001,Kerla,CHITTUR,CTUR,10 37 1.56422634707497,76 48 0.713060333644263,70.77297
50218A001,Gujarat,CHOTILA,CHOL,22 25 14.4459610137036,71 11 20.1586429557828,143.46492
50219A001,Kerla,CHUNDEL,CDEL,11 34 46.6967499523052,76 4 12.9538885683477,779.33673
50220A001,Goa,CONCONA,CONC,15 0 29.9556163572649,74 3 27.7770198768943,-47.39208
50221A001,West Bengal,CONTIA,CONT,21 46 33.4540022628725,87 45 0.238519529025668,-52.11375
50223A001,Maharashtra,DAHANU PALGHAR,DAPR,19 54 26.70853,72 57 16.36871,-5.6184
50224A001,Gujarat,DAHEJ,DHEJ,21 43 4.2505510741534,72 35 6.29812827748104,-50.70999
50225A001,Gujarat,DAHOD,DAHO,22 52 35.878532060939,74 13 59.5401527512459,263.33285
50226A001,Madhya Pradesh,DALOD,DALO,23 56 27.54135031,75 6 8.601005888,419.4829413
50227A001,Rajasthan,DANGRI,DANG,26 32 46.238195,71 23 4.679654,266.3191
50228A001,Maharashtra,DAPOLI,DAPO,17 45 57.81872,73 10 31.48636,86.4597
50229A001,Arunanchal Pradesh,DAPORIJO,DAPO,27 59 27.973657644,94 13 6.548499404,249.370108
50230A001,West Bengal,DARJEELING,DARJ,27 1 48.896442031521,88 15 34.9750709582933,2146.31032
50231A001,Odisha,DARPAN,DARP,20 41 8.99151753245027,86 6 48.1592302404059,-28.36422
50232A001,Tripura,DASDA,DASD,23 56 46.554566189,92 12 29.220359291,13.090102
50233A001,Odisha,DASMANTHPUR,DAUR,19 2 59.11890529,82 54 46.89856973,711.29839
50234A001,Bihar,DAUDNAGAR,DAUD,25 2 5.15093727131753,84 23 59.1644196271355,38.350749
50235A001,Maharashtra,DAUND,DAUD,18 28 3.51687,74 34 11.56038,442.8166
50236A001,Rajasthan,DAUSA,DAUS,26 53 46.5686700342474,76 20 10.6890739842781,290.1924094
50237A001,Goa,DAYANADNAGAR,DAAR,15 23 47.2244151752057,74 5 45.646534355731,-32.48324
50238A001,Gujarat,DAYAPAR,DPAR,23 37 55.2655394292732,68 54 6.38487875381228,55.12449
50239A001,West Bengal,DEBAGRAM,DEBA,23 42 26.4018022590171,88 17 38.4140004006569,-38.08627
50240A001,Rajasthan,DEGANAGAON,DEGA,26 51 8.52002875273688,74 19 52.4895467228423,298.0285529
50241A001,Maharashtra,DEGLOOR NANDED,DEND,18 32 29.17647,77 35 21.48672,299.743
50242A001,Uttarakhand,DEHRADUN,DEHD,30 19 28.3634333847269,78 3 16.745796189529,648.6222
50243A001,Delhi,DELHIPALAM,DELH,28 34 50.2318931731688,77 5 25.9519910533724,168.8799701
50244A001,Maharashtra,DEOGAON,DGAB,20 1 41.26244,75 1 37.0626,466.3642
50245A001,Jharkhand,DEOGHAR,DHAR,24 29 57.5959676384664,86 38 54.8762415348658,205.91932
50246A001,Maharashtra,DEOLI,DEOL,20 39 11.81039,78 29 29.60048,199.3725
50247A001,Madhya Pradesh,DEORI,DEOR,23 23 40.830623139476,79 1 18.6796492540103,370.86529
50248A001,Assam,DHAKUAKHANA,DHAK,27 12 10.114360714,94 26 24.946210077,35.916867
50249A001,Odisha,DHAMARA,DHAA,20 47 42.2893217093281,86 54 2.14458457850837,-55.4779
50250A001,Maharashtra,DHAN,DHAN,20 16 25.45191,80 18 32.50111,176.4863
50251A001,Jharkhand,DHANBAD,DBAD,23 47 38.0097228547817,86 26 31.7444464268695,189.25576
50252A001,Gujarat,DHANDHUKA,DHKA,22 22 30.7827066740521,71 58 38.5837247916791,-32.20433
50253A001,Madhya Pradesh,DHAR,DHHR,22 36 36.066336,75 18 51.303269,519.9569
50254A001,Tripura,DHARAMNAGAR,DHRM,24 22 15.038428786,92 9 29.983860086,-25.654138
50255A001,Gujarat,DHARAMPUR,DHAM,21 38 56.9691307222002,69 40 48.8123066469909,-43.26303
50256A001,Andaman & Nicobar Islands,DHARMAPUR,DHPR,12 37 47.8855297,92 54 13.30412542,-46.9484
50257A001,Himachal Pradesh,DHARMSHALA,DHAR,32 12 2.97486,76 19 25.59316,1155.01
50258A001,Madhya Pradesh,DHEMARKEDA,DHEM,23 28 27.58589283,80 22 35.66579389,357.93638
50259A001,Odisha,DHENKANAL,DHAL,20 39 20.83785285,85 35 53.94015208,19.57543
50260A001,Maharashtra,DHOLEGAON,DHGN,20 5 16.25758,76 10 50.71329,461.8265
50261A001,Gujarat,DHOLKA,DHOL,22 44 5.38857468681429,72 26 8.76247620016585,-30.39828
50262A001,West Bengal,DIAMONDH,DIAM,22 11 46.7892215204569,88 10 35.3555487904115,-49.80598
50263A001,Assam,DIBRUGARH,DIBR,27 29 6.403526216,94 54 38.914862036,51.945974
50264A001,Bihar,DIGHALBANK,DIGH,26 22 33.0110677889215,87 50 39.5632321390021,10.309915
50265A001,West Bengal,DINHATA,DINH,26 7 23.1927560458521,89 29 19.7520509610118,-14.38961
50266A001,Arunanchal Pradesh,DIRANG,DIRA,27 21 33.776235007,92 14 44.713311042,1546.932679
50267A001,Rajasthan,DOBHI,DOBH,29 3 52.9038687364874,75 12 50.7061348462699,156.5510499
50268A001,Jammu & Kashmir,DODA,DODA,33 8 39.1878721616422,75 33 12.6314948518918,1080.52267
50269A001,Assam,DONKAMUKAM,DONK,25 55 59.537962503,92 42 2.33572843,27.267732
50270A001,Rajasthan,DOONI,DOON,25 53 10.1910836896764,75 35 45.9760456558708,255.0298056
50271A001,Jammu & Kashmir,DOORU,DORU,33 34 10.6291124437201,75 13 26.565415127582,1760.55439
50272A001,Rajasthan,DUDHABERI,DUDB,25 57 38.393516,71 2 42.321204,198.125
50273A001,Uttar pradesh,DUDHI,DUDH,24 12 45.296761000535,83 14 28.378938051782,195.964735
50274A001,Rajasthan,DUDHITALAI,DHTL,24 26 42.62498,74 35 55.07381,452.999
50275A001,Bihar,DUMARIYA,DUMA,24 27 53.1535631991053,84 29 2.51516358144419,153.66609
50276A001,Jharkhand,DUMKA,DMKA,24 16 55.6518172985943,87 15 50.8159756159811,112.55407
50277A001,West Bengal,DURGAPUR,DURG,23 29 39.7018467037676,87 17 45.6217163840123,22.90628
50278A001,Uttar pradesh,ETAWAH,ETAW,26 46 18.6289128657825,79 1 19.544687046776,91.8297
50279A001,Telangana,ETURANAGARAM,ERGM,18 19 31.8131621978262,80 24 43.869313852372,21.00608
50280A001,Kerla,EZHIMALA,EALA,12 1 54.2230065679807,75 15 24.0837386844786,-48.93382
50281A001,West Bengal,FALAKATA,FALA,26 30 47.3099976878745,89 13 24.1289419880369,12.72706
50282A001,Uttar pradesh,FARIDPUR,FARI,28 11 56.2840077357825,79 32 36.138746506776,105.8591
50283A001,Uttar pradesh,FATEHPUR,FATE,25 55 44.6371249957825,80 48 10.189391656776,53.9074
50284A001,Uttar pradesh,FIROZABAD,FIRO,27 7 36.4644909357825,78 27 37.001353226776,106.7347
50285A001,Assam,FOTEHPUR,FOTE,27 5 26.794861255,93 59 33.855888835,32.373586
50286A001,Tripura,GANDACHERRA,GANC,23 35 40.059809512,91 49 27.766819628,56.469856
50287A001,Chhattisgarh,GANDAI,GDAI,21 39 12.15991,81 5 34.90982,264.34545
50288A001,Karnataka,GANDASI,GNSI,13 7 46.43029,76 18 21.71529,872.3211
50289A001,Gujarat,GANDHINAGAR,GAAR,23 14 24.24071,72 38 8.417217,25.1628
50290A001,Rajasthan,GANGAPURCITY,GANG,26 30 7.50307009716689,76 45 21.4595126642988,208.074542
50291A001, Sikkim,GANGTOK,GANG,27 20 53.9694203181827,88 37 3.3929450538849,1760.30208
50292A001,Madhya Pradesh,GAROTH,GARO,24 20 0.0530733498567652,75 39 12.6217773311569,371.66118
50293A001,Odisha,GAUDAGOTHA,GAUD,19 37 24.7148333894519,84 18 4.88312488244371,131.72633
50294A001,Bihar,GAYA,GAYA,24 47 59.534819001704,85 2 15.4238983582972,54.26493
50295A001,Chhattisgarh,GEEDAM,GEED,18 58 26.33948,81 24 16.04827,321.00722
50296A001,Maharashtra,GHANSAWALI,GWAL,19 31 25.34037,75 59 51.86638,401.5037
50297A001,Rajasthan,GHARSANA,GHAR,29 1 27.25149283,73 5 5.291170183,104.7893541
50298A001,Uttar pradesh,GHAZIPUR,GHAZ,25 34 6.58715833117699,83 33 17.4683262768987,6.524384
50299A001,Maharashtra,GHTANJI,GTNJ,20 8 32.432,78 19 12.40376,222.5244
50300A001,Madhya Pradesh,GHUGHRI,GHUG,22 40 55.1131847813384,80 41 18.1732346044205,437.15999
50302A001,Jharkhand,GIRDIH,GDIH,24 10 23.1976022027257,86 16 21.2584554431707,214.288
50303A001,Gujarat,GODHRA,GODH,22 46 56.0004459664166,73 37 31.9635039805987,78.76043
50304A001,Maharashtra,GODRI JAMNER,GDJM,20 38 18.15673,75 52 52.20722,264.5755
50305A001,Assam,GOGAMUKH,GOGA,27 24 42.774382197,94 19 11.03950011,42.895881
50306A001,Haryana,GOHNA,GOHN,29 7 43.37739867,76 43 13.76060118,177.4824
50307A001,Karnataka,GOKAK,GKAK,16 9 22.16772,74 48 55.62856,488.7782
50308A001,Assam,GOLAGHAT,GOLG,26 31 38.063685334,93 58 52.531401259,44.737058
50309A001,Assam,GOLAKGANJ,GOLA,26 6 22.70512248,89 49 58.829360564,-18.374139
50310A001,Karnataka,GOLGERI,GGRI,16 48 21.67034,76 21 7.82209,425.4601
50311A001,Gujarat,GONDAL,GOAL,21 58 52.7483512,70 47 40.71565734,86.50014
50312A001,Bihar,GOPALGANJ,GOPA,26 24 17.9571707135686,84 23 5.6324723398043,1.615717
50313A001,Uttar pradesh,GORAKHPUR,GORA,26 43 45.4138147157067,83 23 30.5260771501289,8.586774
50314A001,Haryana,GORIWALA,GORI,29 46 59.56500482,74 44 48.6277083,154.0508
50315A001,Rajasthan,GOTAN,GOTA,26 39 26.244934,73 43 58.358953,277.2444
50316A001,Madhya Pradesh,GOTEGAON,GOTE,23 2 11.4389792426556,79 28 56.8497318553605,312.34037
50317A001,Rajasthan,GUDA,GUDA,23 50 55.9801110210786,73 23 35.5315584794178,346.1565993
50318A001,Tamilnadu,GUDALUR,GDLR,11 30 9.84104638414348,76 29 24.8648349221813,869.53446
50319A001,Karnataka,GUDIBANDE,GBDE,13 40 23.28496,77 42 38.68879,765.8146
50321A001,Madhya Pradesh,GULANA,GULA,23 25 19.0634946344234,76 28 11.328891265928,391.56377
50322A001,Karnataka,GULBARGA,GBGA,17 17 28.45882,76 45 54.59522,397.7281
50323A001,Jharkhand,GUMLA,GUMA,22 59 47.4170886,84 31 37.89016911,605.02906
50324A001,Tamilnadu,GUMMIDIPOONDI,GUMP,13 25 35.3337080649945,80 6 54.010369672624,-65.25096
50325A001,Punjab,GURDASPUR,GURD,31 54 26.005228,75 26 22.016618,216.4373
50326A001,Haryana,GURGAON,GURG,28 27 1.53663752534122,77 1 42.2037715847629,180.2555
50327A001,Karnataka,GURGUNTA,GNTA,16 17 15.12304,76 38 4.88629,387.3826
50328A001,Punjab,GURUHARSAHAI,GURU,30 42 53.673814,74 24 34.916214,151.8311
50329A001,Assam,GUWAHATI,GUWA,26 10 44.363758125,91 44 21.467001229,6.48091
50330A001,Madhya Pradesh,GWALIOR,GWAL,26 11 32.95343405463,78 12 4.97470752982425,183.64228
50331A001,Bihar,GWANAAHA,GWAN,27 17 12.6814433737869,84 31 20.8572410962792,42.073451
50332A001,Ladakh,GYAL,GYAL,33 38 0.277614317886406,77 44 48.7586635656276,4121.97416
50333A001,Rajasthan,HADDA,HADD,27 38 21.9505518577095,72 53 2.73859807180474,233.1239075
50334A001,Karnataka,HAGRIBOMANAHLLI,HLLI,15 1 44.20105,76 11 7.62736,438.017
50335A001,Uttarakhand,HALDWANI,HALD,29 12 20.3618119957825,79 31 9.10252327677603,365.8942
50336A001,Assam,HALOWANC,HALO,26 35 31.018221006,93 26 22.262850691,24.801612
50337A001,Uttar pradesh,HAMIRPUR,HAMI,25 57 31.4102351357825,80 8 52.519026776776,53.5856
50338A001,Rajasthan,HANUMANGARH,HANU,29 36 16.3757327806519,74 16 36.015785078586,139.7142872
50339A001,Ladakh,HANUPATHA,HNPA,34 9 44.5999022177199,76 50 22.7455065290226,3783.40388
50340A001,Uttar pradesh,HAPUR,HAPU,28 43 9.1013509957825,77 44 38.799643056776,159.8659
50341A001,Uttar pradesh,HARAIYYA,HARA,26 47 16.8994123157825,82 28 49.601281276776,26.2968
50342A001,Odisha,HARICHANDANPUR,HARI,21 20 9.529990349,85 47 14.50211186,295.21015
50343A001,Madhya Pradesh,HARRAI,HARR,22 36 39.337028985207,79 13 6.75638749669733,533.14081
50345A001,Maharashtra,HATKANGALE KOLHA,HKOL,16 45 0.39788,74 25 16.88562,511.9744
50346A001,Madhya Pradesh,HATPIPIYA,HATP,22 46 34.6717877138483,76 18 4.46825078282511,464.34994
50347A001,Arunanchal Pradesh,HAWAI,HAWA,27 53 8.584237149,96 49 10.51215178,1218.337058
50348A001,Jharkhand,HAZARIBAG,HAAG,23 59 15.93505,85 22 23.86275,554.902
50349A001,Karnataka,HD KOTE,HDTE,12 4 53.60214,76 20 4.68962,614.5486
50350A001,Assam,HELEM,HELE,26 50 25.317308453,93 28 38.113797991,30.652304
50351A001,Gujarat,HIMMATNAGAR,HAGR,23 36 41.27585,72 57 53.19896,91.6256
50352A001,Punjab,HISAR,HISA,29 8 2.38697369740348,75 42 28.0639721261155,166.254
50353A001,Tamilnadu,HOSUR,HSUR,12 43 37.7226474281392,77 49 39.5019895629904,819.36665
50354A001,Karnataka,HULIKUNTE,HNTE,14 8 29.31858,76 43 1.62848,500.5045
50355A001,Karnataka,HULIYAR,HLYR,13 35 1.12965,76 32 13.86942,629.0807
50356A001,Jharkhand,HUSSAINABAD,HUAD,24 32 30.8622535238931,83 59 42.6808257622047,84.42458
50357A001,Andaman & Nicobar Islands,HUTBAY,HUTB,10 35 48.895146349392,92 32 13.0413793153665,-53.53131
50358A001,Madhya Pradesh,HUZURBHOPAL,HUZU,23 15 48.7051904076554,77 22 54.8875210566466,470.96258
50359A001,Telangana,HYDERABAD,HYDE,17 24 7.24380722315704,78 33 11.4811333771037,419.56315
50360A001,Manipur,IMPHAL,IMPH,24 48 40.127311796,93 54 44.403877968,729.425539
50361A001,Madhya Pradesh,INDEGARH,INDE,25 54 30.3154152581151,78 33 11.8162733028989,130.1528
50362A001,Madhya Pradesh,INDORE,INDO,22 42 28.990645,75 51 16.596771,493.6635
50363A001,Gujarat,ITI RAJKPT,ITIR,22 16 46.1379279920575,70 49 48.8622098600676,91.13833
50364A001,Madhya Pradesh,JABALPUR,JABA,23 11 13.586262151112,79 54 17.3996990957565,333.34698
50365A001,Madhya Pradesh,JABERA,JABE,23 33 6.41306408725038,79 41 0.116783033876408,316.61482
50366A001,Karnataka,JAGALURU,JLRU,14 30 58.84262,76 20 3.06055,598.0578
50367A001,Jharkhand,JAGANATHPUR,JPUR,22 12 31.3023846874122,85 38 29.4112654120379,385.67963
50368A001,Chhattisgarh,JAGDALPUR,JGDP,19 6 3.75492662220831,81 58 48.360360513241,485.72165
50369A001,Bihar,JAGDISHPUR,JAGD,25 27 15.7510168686448,84 22 41.730670616319,10.328132
50370A001,Rajasthan,JAIPUR,JAIP,26 57 56.7808349953488,75 47 27.8622188831734,414.2469321
50371A001,Rajasthan,JAISINDHAR,JAIS,25 45 31.678826,70 21 35.229119,45.34
50372A001,Madhya Pradesh,JAISINGHNAGAR,JSNG,23 40 42.12110103,81 22 56.34769941,378.89555
50373A001,Uttar pradesh,JALALABAD,JALA,27 43 24.2851098557825,79 39 10.334674086776,86.9436
50374A001,Punjab,JALANDHAR,JLND,31 25 20.2067488,75 42 16.84945252,197.1246
50375A001,Maharashtra,JALGAON,JALG,21 0 11.37687,75 32 49.86051,167.3616
50376A001,Rajasthan,JALORE,JALO,25 20 26.0353985777957,72 38 51.4947812253335,120.2125
50377A001,West Bengal,JALPAIGURI,JALP,26 32 7.01526358289953,88 43 14.2841572229466,32.64701
50378A001,Nagaland,JALUKIE,JALU,25 39 11.982988745,93 39 53.711117978,299.397002
50379A001,Madhya Pradesh,JAMAIJUNARDEV,JAMA,22 11 51.7789842188688,78 35 10.933034666564,706.81365
50380A001,Odisha,JAMANKIRA,JAMA,21 32 4.22421628247405,84 24 25.7851455515666,230.33637
50381A001,Gujarat,JAMBUSAR,JSUR,22 2 56.892490162466,72 47 37.1881868330903,-45.33057
50382A001,Jammu & Kashmir,JAMMU,JMMU,32 43 25.4443255086613,74 48 58.6616063719795,245.64362
50383A001,Gujarat,JAMNAGAR,JAMN,22 27 59.9193346796814,70 3 24.4248589683858,-30.78475
50384A001,Jharkhand,JAMSHEDPUR,JAME,22 45 15.2552665518175,86 11 55.3054424389977,107.40198
50385A001,Jharkhand,JAMTARA,JARA,23 58 58.75479,86 49 39.92213,114.4209
50386A001,Bihar,JAMUI,JAMU,24 55 34.6935196741132,86 14 11.5481248533687,21.553081
50387A001,Chhattisgarh,JANAKPUR,JNKP,23 43 18.0833350910859,81 47 5.68743998569667,393.57747
50388A001,Arunanchal Pradesh,JANG,JANG,27 34 30.233423867,91 59 15.042279605,2630.672037
50389A001,Rajasthan,JASORABAINA,JASO,26 45 50.3923559,77 24 40.42569551,169.2022576
50390A001,Uttar pradesh,JAUNPUR,JAUN,25 43 37.2958496057825,82 41 47.889073276776,20.7904
50391A001,Bihar,JAYNAGAR,JAYN,26 35 45.2965091564708,86 8 9.68208278922396,9.345998
50392A001,Madhya Pradesh,JEERAPUR,JEER,24 1 11.7760792338953,76 22 33.0630186243086,356.86571
50393A001,Madhya Pradesh,JHABUA,JHAB,22 46 0.497406556744758,74 35 51.9392662506927,272.19863
50394A001,Haryana,JHAJJAR,JHAJ,28 38 5.77942594,76 38 29.57835067,168.2885
50395A001,Uttar pradesh,JHANSI,JHAN,25 26 53.7246887457825,78 35 32.388879046776,187.1016
50396A001,Rajasthan,JHUNJHUNU,JHUN,28 6 33.240974563746,75 23 14.3580468996768,294.6786184
50397A001,Haryana,JIND,JIND,29 18 31.05820823,76 20 13.0433657,179.6495
50398A001,Maharashtra,JINTUR,JINT,19 35 33.20196,76 41 26.35815,376.5411
50399A001,Assam,JIRIGHAT,JIRI,24 48 33.217564433,93 6 27.34906061,-7.419301
50400A001,Rajasthan,JODHPUR,JODH,26 16 7.97560829549409,73 0 59.5446366828779,187.4322431
50401A001,Assam,JONAI,JONA,27 49 18.306558871,95 13 47.946287509,74.622335
50402A001,Uttarakhand,JOSHIMATH,JOSH,30 33 19.2684801350081,79 33 29.0712863793012,1906.194
50403A001,Jharkhand,JUMRI TALAIYA,JUYA,24 26 24.7504250261738,85 32 2.51020862249484,334.25227
50404A001,Gujarat,KABRADA,KABR,20 20 43.7101228797036,73 12 59.0438096397932,277.39687
50405A001,Assam,KACHUGAON,KCHU,26 34 2.398713061,90 4 19.374610519,14.581335
50406A001,Odisha,KADALIGARH,KADA,20 57 30.8458925915254,84 18 50.8557838597634,68.41961
50407A001,Andaman & Nicobar Islands,KADAMTALA,KADM,12 21 11.5728110833236,92 46 22.8887728152178,-49.68823
50408A001,Tamilnadu,KADAVUR,KDVR,10 42 50.5636715929832,78 14 25.769499998626,101.54321
50409A001,Karnataka,KADUR,KDUR,13 33 2.81983,76 0 57.55572,681.0277
50410A001,Madhya Pradesh,KAILARAS,KAIL,26 18 23.8505470623508,77 37 45.6689521728051,134.66068
50411A001, Haryana,KAITHAL,KAIT,29 47 2.65626183368737,76 24 14.7423426250273,189.9533
50412A001,Maharashtra,KALAMNURI,KNUR,19 40 41.48907,77 18 2.69238,393.138
50413A001,Tamilnadu,KALASAPAKKAM,KLSP,12 25 57.7319400971229,79 6 11.5041137329391,92.12981
50414A001,Gujarat,KALAWAD,KAWD,22 13 25.975076,70 22 13.47480175,49.43776
50415A001,Tamilnadu,KALLAKURICHI,KLKC,11 44 27.8769794757881,78 57 53.4749275655673,52.81592
50416A001,Kerla,KALLAYI,KAYI,11 43 57.6230284,75 30 25.97206397,-85.16556
50417A001,Uttar pradesh,KALPI,KALP,26 7 15.1136246957825,79 45 27.255398086776,63.7453
50418A001,Maharashtra,KALWAN,KWAN,20 27 43.19095,73 59 58.53695,591.8025
50419A001,Mizoram,KAMALANAGAR,KAMA,22 37 9.204326646,92 38 24.935601578,32.010863
50420A001,Manipur,KAMJONG,KAMJ,24 51 16.554341064,94 30 34.305671194,1615.250706
50421A001,Maharashtra,KAMLESHWAR,KAML,21 14 26.35206,78 54 11.4783,279.7427
50422A001,Andaman & Nicobar Islands,KAMROTA,KAMR,8 2 25.1554293348418,93 32 31.1190483245199,-18.53661
50423A001,Tamilnadu,KAMUTHI,KMTH,9 24 58.1145985910993,78 22 42.452722290041,-46.05461
50424A001,Karnataka,KANAKPUR,KNRA,12 32 48.82758,77 25 24.94623,541.7496
