corsid,state_name,site_name,site_code
50429A001,Maharashtra,KANSHIVANI,KVNI
50430A001,Maharashtra,KARAD SATARA,KSAT
50431A001,Tamilnadu,KARAIKUDI,KKDI
50432A001,Maharashtra,KARAMALA SOLAPUR,KRSO
50433A001,Rajasthan,KARANPURGANGAN,KARA
50434A001,Madhya Pradesh,KARENA,KARE
50435A001,Ladakh,KARGIL,KARG
50436A001,Telangana,KARIMNAGAR,KRMN
50437A001,West Bengal,KARIMPUR,KARI
50438A001,Tamilnadu,KARIYAPATTI,KRYP
50439A001, Haryana,KARNAL,KARN
50440A001,Chhattisgarh,KARTALA,KRTL
50441A001,Tamilnadu,KARUR,KARU
50442A001,Uttar pradesh,KASHGANJ,KASH
50443A001,West Bengal,KATAMARI,KATA
50444A001,Madhya Pradesh,KATANGI,KATA
50445A001,Chhattisgarh,KATGHORA,KATG
50446A001,Jammu & Kashmir,KATHUA,KHUA
50447A001,Assam,KATIGORAH,KTIG
50448A001,Bihar,KATIHAR,KTHR
50449A001,Madhya Pradesh,KATINNAGAR,KATI
50450A001,Tamilnadu,KATPADI,KTPD
50451A001,Kerla,KAVARATTI,KAVA
50452A001,Arunanchal Pradesh,KAYING,KAYI
50453A001,Rajasthan,KEKRI,KEKR
50454A001,Kerla,KELAKKAM,KKAM
50455A001,Odisha,KEONJHAR,KEON
50456A001,Uttar pradesh,KESHARGANJ,KSRG
50457A001,Maharashtra,KESHAV NAGAR,KNAG
50458A001,Uttar pradesh,KHAIRAGARH,KHAI
50459A001,Rajasthan,KHAJUWALA,KHAJ
50460A001,Madhya Pradesh,KHALWA,KHAL
50461A001,Gujarat,KHAMBHALIYA,KHAB
50462A001,Maharashtra,KHAMGAON,KMGN
50463A001,Karnataka,KHANAPUR,KHPR
50464A001,Maharashtra,KHANAPUR KARANJI,KPUR
50465A001,Rajasthan,KHANDELA,KHAN
50466A001,West Bengal,KHARAGPU,KHAR
50467A001,Uttar pradesh,KHARIBAD,KHAR
50468A001,Uttar pradesh,KHATAULI,KHTL
50469A001,Uttarakhand,KHATIMA,KHAT
50470A001,Mizoram,KHAWZAWL,KHAW
50471A001,Rajasthan,KHINIYA,KHIN
50472A001,Meghalaya,KHLIEHRIAT,KHLI
50473A001,Jharkhand,KHUNTPANI,KANI
50474A001,Arunanchal Pradesh,KHUPA,KHUP
50475A001,Uttar pradesh,KHUSHINAGAR,KHUS
50476A001,Ladakh,KIARI,KIRI
50477A001,Andaman & Nicobar Islands,KILSHORI NAGAR,KILS
50478A001,Tamilnadu,KINATHUKADAVU,KTDU
50479A001,Madhya Pradesh,KIRNAPUR,KIRN
50480A001,Bihar,KISHANGANJ,KISH
50481A001,Jammu & Kashmir,KISHTWAR,KIAR
50482A001,Gujarat,KOBG,KOBG
50483A001,Kerla,KOCHI,KOCH
50484A001,Tamilnadu,KODAIKANAL,KODA
50485A001,Odisha,KOIRA,KIRA
50486A001,Karnataka,KOLAR,KLAR
50487A001,West Bengal,KOLKATA,KOLK
50488A001,Kerla,KOLLAM,KLAM
50489A001,Tamilnadu,KOLLIHILLS,KOLI
50490A001,Arunanchal Pradesh,KOLORIANG,KOLO
50491A001,Uttar pradesh,KONCH,KONC
50492A001,Chhattisgarh,KONDAGAON,KOND
50493A001,Maharashtra,KORCHI,KCHI
50494A001,Madhya Pradesh,KOTAR,KOTA
50495A001,Tamilnadu,KOVILPATTI,KVIL
50496A001,Kerla,KOZHANCHERY,KERY
50497A001,Karnataka,KR PETE,KPTE
50498A001,Tamilnadu,KRISHNAGIRI,KRIN
50499A001,West Bengal,KRISHNANAGAR,KRIS
50500A001,Tamilnadu,KUDAVASAL,KUDV
50501A001,Kerla,KULATHUPZHA,KZHA
50502A001,Uttarakhand,KULHAL,KULH
50503A001,Himachal Pradesh,KULLU,KULL
50504A001,West Bengal,KUMIRMARI,KUMI
50506A001,Odisha,KUNDURA,KUNA
50507A001,Karnataka,KUNIGAL,KNGL
50508A001,Kerla,KUNJATTURU,KUNJ
50509A001,Chhattisgarh,KUNKURI,KUNK
50510A001,Jammu & Kashmir,KUPWARA,KURA
50511A001,Odisha,KURUDA,KUDA
50512A001,Madhya Pradesh,KUSMI,KUSM
50513A001,Karnataka,KUSTAGI,KSGI
50514A001,Odisha,KUTRAGARH,KURH
50515A001,Tamilnadu,KUZITHURAI,KZTH
50516A001, Sikkim,LACHUNG,LACH
50517A001,Rajasthan,LADNU,LADN
50518A001,Chhattisgarh,LAILUNGA,LAIL
50519A001,Madhya Pradesh,LAKHADON,LKDN
50520A001,Uttar pradesh,LAKHIMPUR,LAKH
50521A001,Uttar pradesh,LALGANJMIRZAPUR,LALG
50522A001,Uttar pradesh,LALGANJPRATAPGARH,LALP
50523A001,West Bengal,LALGOLA,LALG
50524A001,Uttar pradesh,LALITPUR,LALI
50525A001,Mizoram,LALLEN,LALL
50526A001,Gujarat,LALPUR,LALP
50527A001,Gujarat,LATHI,LTHI
50528A001,Maharashtra,LATUR,LATU
50529A001,Karnataka,LAXMESHWAR,LXWR
50530A001,Ladakh,LEH,LEH1
50531A001,Arunanchal Pradesh,LIKABALI,LIKA
50532A001,Andaman & Nicobar Islands,LONG ISLAND,LOIS
50533A001,Arunanchal Pradesh,LONGDING,LONG
50534A001,Chhattisgarh,LORMI,LORM
50535A001,Uttar pradesh,LUCKNOW,LUCK
50536A001,Punjab,LUDHIANA,LUDH
50537A001,Assam,LUMDING,LUMD
50538A001,Telangana,MACHAREDDY,MACH
50539A001,Manipur,MACHI,MCHI
50541A001,Karnataka,MADDUR,MDUR
50542A001,Gujarat,MADHAVPUR,MADV
50543A001,Bihar,MADHEPURA,MDHE
50544A001,Uttar pradesh,MADHUBANI,MADH
50545A001,Karnataka,MADHUGIRI,MDGR
50546A001,Chhattisgarh,MAGARLOD,MAGA
50547A001,Telangana,MAHADEVPUR,MHPR
50548A001,Maharashtra,MAHAGAON,MAGN
50549A001,Odisha,MAHAKALPADA,MAHA
50550A001,Maharashtra,MAHALGAON,MGAN
50551A001,Uttar pradesh,MAHARAJGANJ,MAHA
50552A001,Chhattisgarh,MAHASAMUND,MHND
50553A001, Haryana,MAHENDRAGARH,MAHE
50554A001,Madhya Pradesh,MAHESHWAR,MSWR
50555A001,Uttar pradesh,MAHOBA,MAHO
50556A001,Jammu & Kashmir,MAHORE,MARE
50557A001,Gujarat,MAHUVA,MAHU
50558A001,Rajasthan,MAHWA,MAHW
50559A001,Assam,MAIBANG,MAIB
50560A001,Chhattisgarh,MAINPUR,MAIN
50561A001,West Bengal,MALBAZAR,MALB
50562A001,West Bengal,MALDA,MALD
50563A001,Maharashtra,MALEGAON,MALE
50564A001,Odisha,MALKANGIRI,MALK
50565A001,Maharashtra,MALWAN,MLWN
50566A001,Tamilnadu,MANAMELGUDI,MNME
50567A001,Madhya Pradesh,MANASA,MANA
50568A001,Madhya Pradesh,MANAWAR,MNWR
50569A001,West Bengal,MANBAZAR,MANB
50570A001,Telangana,MANCHERIAL,MNCH
50571A001,Gujarat,MANDAL,MAND
50572A001,Rajasthan,MANDAL,MAND
50573A001, Sikkim,MANGAN,MANG
50574A001,Maharashtra,MANGAON,MAON
50575A001,Nagaland,MANGKOLEMBA,MNKO
50576A001,Rajasthan,MANGLIVAWAS,MANG
50577A001,Arunanchal Pradesh,MANMAO,MANM
50578A001,Kerla,MANNAKUDDY,MDDY
50579A001,Jharkhand,MANOHARPUR SIG W,MSIG
50580A001,Maharashtra,MANORA,MNRA
50581A001,Punjab,MANSA,MANS
50582A001,Tripura,MANUBAZAR,MANU
50583A001,Assam,MARGHERITA,MARG
50584A001,Arunanchal Pradesh,MARIYANG,MARI
50585A001,Bihar,MASHRAKH,MASH
50586A001,Gujarat,MASKA,MSKA
50587A001,Uttar pradesh,MATHURA,MATH
50588A001,Uttar pradesh,MAURANIPUR,MAUR
50589A001,Andaman & Nicobar Islands,MAYABUNDAR,MAYA
50590A001,Arunanchal Pradesh,MEBO,MEBO
50591A001,Maharashtra,MEDHA,MEDH
50592A001,Telangana,MEDIPALLI,MEDI
50593A001,Gujarat,MEHSANA,MEHS
50594A001,Tripura,MELAGHAR,MELA
50595A001,Kerla,MELUKAVUMATTA,MTTA
50596A001,Arunanchal Pradesh,MIAO,MIAO
50597A001,Arunanchal Pradesh,MIGGING,MIGG
50598A001,Uttar pradesh,MILKIPUR,MILK
50599A001,Nagaland,MIMI,MIMI
50600A001, Lakshdweep,MINICOY,MINI
50601A001,Punjab,MOGA,MOGA
50602A001,West Bengal,MOGRARA,MOGR
50603A001,Uttar pradesh,MOHAMMADI,MHMD
50604A001,Madhya Pradesh,MOHANA,MOHN
50605A001,Madhya Pradesh,MOHANGARH,MHGR
50606A001,Maharashtra,MOHOL,MOHL
50607A001,Rajasthan,MOKALSAR,MOKA
50608A001,Bihar,MOKAMA,MOKM
50609A001,Uttarakhand,MORI,MORI
50610A001,Assam,MORIGAON,MORG
50611A001,Karnataka,MUDDEBHIL,MBIL
50612A001,Karnataka,MUDIGERE,MGRE
50613A001,Maharashtra,MULC,MULC
50614A001,Maharashtra,MULS,MULS
50615A001,Madhya Pradesh,MUNGAOLI,MUNG
50616A001,Bihar,MUNGER,MNGE
50617A001,Kerla,MUNNAR,MUAR
50618A001,Uttarakhand,MUNSIYARI,MUNS
50619A001,Kerla,MUTHANGA,MUGA
50620A001,Tamilnadu,MUTHANGA,
50621A001,Bihar,MUZAFFARPUR,MUZA
50622A001,Rajasthan,MYAJLAR,MYAJ
50623A001,Odisha,NABARANGPUR,NABA
50624A001,Punjab,NABHA,NABH
50625A001,Rajasthan,NACHNA,NACH
50626A001,Gujarat,NADIAD,NADI
50627A001,Rajasthan,NADOL,NADO
50628A001,Tamilnadu,NAGAPATNAM,NAGA
50629A001,Telangana,NAGARKURNOOL,NGRK
50630A001,Madhya Pradesh,NAGDA,NAGD
50631A001,Himachal Pradesh,NAHAN,NAHA
50632A001,Madhya Pradesh,NAINPUR,NAIN
50633A001,Uttar pradesh,NAJIBABAD,NJBD
50634A001,Gujarat,NALIYA,NIYA
50635A001,Arunanchal Pradesh,NAMDONG,NAMD
50636A001,Arunanchal Pradesh,NAMSAI,NAMS
50637A001,Maharashtra,NANDAGAON KHANDE,NANK
50638A001,Odisha,NANDAPUR,NAND
50639A001,Maharashtra,NANNDESWAR TAL,NTAL
50640A001,Uttar pradesh,NANPARA,NANP
50641A001,Gujarat,NARALI,NARL
50642A001, Haryana,NARAYANGARH,NARA
50643A001,Telangana,NARAYANPET,NRYP
50644A001,Rajasthan,NARAYANPUR,
50645A001,Chhattisgarh,NARAYANPURCG,NPCG
50646A001,Telangana,NARKETPALLY,NARK
50647A001,Odisha,NARLA,NALA
50648A001,Madhya Pradesh,NARSINGHGARH,NARS
50649A001,Maharashtra,NASHIK,NASK
50650A001,Madhya Pradesh,NASRULLAGANJ,NSRG
50651A001,Tamilnadu,NATHAM,NHAM
50652A001,Tamilnadu,NATRAMPALLI,NLKT
50653A001,Bihar,NAUGACHIA,NUGH
50654A001,Uttar pradesh,NAUGARH,NAUG
50655A001,Maharashtra,NAVAPUR,NPUR
50656A001,Bihar,NAWADA,NAWA
50657A001,Rajasthan,NAWGOAN,NAWG
50658A001,West Bengal,NAXALBARI,NAXA
50659A001,Odisha,NAYAGARH,NAYA
50660A001,Rajasthan,NEEMKATHANA,NEEM
50661A001,Telangana,NEKKONDA,NEKK
50662A001,Gujarat,NETRANG,NTNG
50663A001,Uttarakhand,NEWTEHRI,NTHR
50664A001,Telangana,NIDAMANOOR,NIDA
50665A001,Uttar pradesh,NIGHASAN,NIGH
50666A001,Kerla,NILAKKA,NILA
50667A001,Tamilnadu,NILAKOTTAI,NATR
50668A001,Rajasthan,NIMA,NIMA
50669A001,Maharashtra,NIPHAD DEOGAON,NPGN
50670A001,Rajasthan,NIWAI,NWAI
50671A001,Madhya Pradesh,NIWALI,NIWA
50672A001,Madhya Pradesh,NIWAS,NWAS
50673A001,Telangana,NIZAMABAD,NIZM
50674A001,Telangana,NIZAMSAGAR,NIZA
50675A001,Mizoram,NOGPA,NOGP
50676A001,Nagaland,NOKLAK,NOKL
50677A001,Arunanchal Pradesh,NONGPOH,NONP
50678A001,Arunanchal Pradesh,NONGSTOIN,NONG
50679A001,Telangana,NOOTHANKAL,NOOT
50680A001,Madhya Pradesh,NOWROZABAD,NOWR
50681A001,Odisha,NUAGAON,NUAG
50682A001,Odisha,NUAPADA,NUAP
50683A001, Haryana,NUH,NUH_
50684A001,Himachal Pradesh,NURPUR,NURP
50685A001,Tamilnadu,ODDANCHATHRAM,ODDA
50686A001,Rajasthan,OSIAN,OSIA
50687A001,Odisha,PABRITANAGAR,PABR
50688A001,Rajasthan,PACHALA,PCHL
50689A001,Rajasthan,PACHPADRA,PACH
50690A001,Odisha,PADAMPUR,PDMP
50691A001,Maharashtra,PAITHAN,PTHN
50692A001,Chhattisgarh,PAKHANJUR,PKHN
50693A001,Jharkhand,PAKUR SADAR,PAAR
50694A001,Maharashtra,PALAM,PLAM
50695A001,Gujarat,PALANPUR,PALA
50696A001,Tamilnadu,PALAYAMKOTTAI,PYKT
50697A001,Arunanchal Pradesh,PALIN,PALI
50698A001,Tamilnadu,PALLIPATTU,PLPT
50699A001,Kerla,PALLIPPURAM,PLLI
50700A001, Haryana,PALWAL,PALW
50701A001,Telangana,PAMBI,PAMB
50702A001,Rajasthan,PANCHORI,PANC
50703A001,Madhya Pradesh,PANDHANA,PAND
50704A001,Ladakh,PANG,PANG
50705A001,Arunanchal Pradesh,PANGIN,PANG
50706A001, Haryana,PANIPAT,PANI
50707A001,West Bengal,PANSKURA,PANS
50708A001,Kerla,PARAPPA,PAPP
50709A001,Uttar pradesh,PARASPUR,PARA
50710A001,Maharashtra,PARLI,PARL
50711A001,Gujarat,PATAN,PTAN
50712A001,Madhya Pradesh,PATERA,PATE
50713A001,Bihar,PATNA,PATN
50714A001,Tamilnadu,PATTUKOTTAI,PTTK
50715A001,Karnataka,PAVGADA,PVDA
50716A001,Chhattisgarh,PENDRAROAD,PEND
50717A001,Tamilnadu,PENNAGARAM,PNGM
